PlayerID,GamesPlayed,GamesWon,GamesLeft,Ditches,Points,SkillLevel,Kills,KillsPerMin, Deaths,Assists,CreepsKilled,CreepsDenied, NeutralsKilled, TowersDestroyed, RaxsDestroyed, TotalTime
304,217,122,5,2,1155.88,1,1795,0.21,1194,2065,14180,1354,3901,198,96,510660
305,3,0,0,0,960.62,0,10,0.07,31,18,254,11,98,1,0,8760
306,1,0,0,0,981.609,0,5,0.18,4,9,40,13,5,0,0,1658
307,1,1,0,0,1018.33,0,0,0,3,2,24,0,0,0,0,1658
308,58,27,0,0,817.659,1,294,0.13,374,444,4006,59,744,26,9,138360
309,4,0,1,0,843.822,0,13,0.08,39,14,204,8,7,0,0,9420
310,3,1,0,0,960.794,0,7,0.07,12,10,123,5,3,0,0,5760
311,5,3,1,0,971.255,0,35,0.22,15,14,529,55,141,3,6,9720
312,296,167,2,1,1545.03,3,1698,0.13,1716,3296,25725,3207,5038,222,118,785760
313,2,0,0,0,971.659,0,4,0.08,9,6,69,3,2,0,0,3162
314,1,0,0,0,980.149,0,1,0.03,12,7,29,6,2,0,0,2364
316,665,372,10,7,1213.5,2,5220,0.19,3082,6561,72424,6549,12722,684,315,1682760
317,412,214,15,8,1124.97,1,2587,0.15,2644,3999,33955,2506,10579,294,130,1021740
320,82,40,0,0,1121.27,1,432,0.13,622,790,4739,92,525,33,18,198060
321,1,0,0,0,991.284,0,4,0.07,11,9,72,10,0,0,0,3307
322,25,11,0,0,936.674,1,75,0.07,198,180,1230,153,197,7,1,66000
323,37,15,2,0,958.67,1,158,0.12,152,283,1775,133,460,11,6,76020
324,12,5,0,0,983.373,1,134,0.27,77,101,1078,95,218,11,2,30120
325,134,85,2,3,1095.6,1,792,0.14,791,1443,9411,1206,1911,85,43,337920
326,223,106,4,2,898.672,1,852,0.09,1697,2208,13121,820,5449,114,48,578640
327,282,160,2,6,1129.18,2,1689,0.14,2041,3439,19256,1694,2151,160,60,717240
328,11,8,0,0,1000,1,15,0.03,105,138,278,55,18,6,5,32220
332,85,38,1,2,1045.97,1,462,0.13,597,921,6791,888,1192,34,18,217560
333,106,48,1,1,914.242,1,412,0.1,714,897,7021,1131,278,53,19,250140
334,2,0,0,0,962.67,0,4,0.05,14,13,67,2,19,0,0,4380
335,79,32,1,0,821.319,1,319,0.09,671,571,5380,380,1058,39,11,208440
336,1,1,0,0,1017.66,0,5,0.14,3,12,49,9,2,0,0,2161
337,2,0,0,0,1000,0,2,0.03,24,23,78,5,0,0,0,4500
338,3,2,0,0,1000,0,24,0.23,13,19,297,40,85,4,2,6240
340,2,1,0,0,997.817,0,15,0.15,7,16,336,16,45,3,1,5940
341,34,18,0,1,1078.22,1,305,0.21,177,322,3674,288,454,44,8,85560
342,55,42,0,0,949.074,1,556,0.26,187,478,5680,161,950,72,23,126780
343,89,56,5,4,1187.72,1,1009,0.28,477,783,11489,1081,907,125,43,216480
345,79,47,7,0,1198.18,1,633,0.21,509,679,7699,677,847,80,32,183660
347,856,433,10,6,1208.85,1,5372,0.15,4587,8086,68290,5747,13294,670,330,2222280
349,1,0,0,0,985.349,0,2,0.08,6,2,12,1,0,0,0,1575
350,473,264,7,0,1325.73,1,3608,0.18,2774,4756,38141,5755,7822,399,145,1194120
352,531,359,3,4,1286.11,1,5316,0.23,2890,5670,56157,4109,10855,688,250,1373520
353,1,0,0,0,979.903,0,9,0.23,9,3,36,0,96,0,0,2306
354,1,0,0,0,977.663,0,3,0.08,10,9,32,7,2,0,0,2214
355,28,13,0,0,921.736,1,126,0.11,187,257,1136,72,162,16,8,67560
356,82,64,1,0,1020.32,1,676,0.2,353,657,11550,2071,969,117,38,201240
357,566,271,3,1,1079.79,1,2534,0.1,1856,4880,54724,4681,9894,383,158,1487340
359,383,202,0,0,1113.15,1,2106,0.13,2236,4579,26366,3598,4278,231,101,972960
360,6,4,1,0,971.962,0,31,0.15,27,53,664,57,29,4,0,12060
361,175,106,1,0,1132.96,1,1115,0.15,577,1810,14038,1070,2823,114,64,455280
362,81,58,3,0,1051.63,1,778,0.26,312,610,10067,1268,1391,98,38,179280
364,1,0,0,0,986.375,0,2,0.04,11,2,38,3,2,0,0,2810
365,81,44,0,1,928.041,1,533,0.16,383,970,5495,548,1007,44,15,200640
366,2,1,0,0,1003.8,0,24,0.34,5,8,198,21,8,0,0,4140
367,17,9,1,0,993.06,1,91,0.12,99,179,1322,218,118,9,5,44220
368,654,445,17,2,1096.28,1,8932,0.31,4839,6228,86429,2618,9002,843,358,1712760
370,34,16,5,0,1009.4,1,504,0.41,161,326,3392,342,241,33,13,73380
371,11,5,0,0,939.71,1,63,0.14,83,116,693,32,63,6,1,27120
372,377,218,16,5,1592.59,1,3220,0.2,1982,3927,39404,3239,4702,349,168,987240
373,1,0,0,0,962.765,0,0,0,5,0,21,0,39,0,0,1796
374,911,614,8,15,1280.1,2,8097,0.21,4708,12653,82779,5186,11437,794,312,2294400
375,250,170,7,1,1245.88,1,1798,0.18,1543,3070,18633,1070,1585,186,32,588420
