 GamesPlayed, GamesWon, GamesLeft, Ditches, Points, Kills, KillsPerMin, Deaths, Assists, CreepsKilled, CreepsDenied, NeutralsKilled, TowersDestroyed, RaxsDestroyed, TotalTime, SkillLevel,Gender
0,0,0,0,0.252876421,0.000210597,0.357142857,0.000470921,0.000116313,0.000115482,0.000273286,6.99E-05,0,0,0.000146964,0,M
0,0.000566893,0,0,0.28002903,0.000294836,0.452380952,0.000294325,0.000203548,0.00016651,6.83E-05,0.00032634,0.001153403,0,0.000205656,0,M
0.023454834,0.02154195,0.15,0.222222222,0.345382365,0.022660265,0.428571429,0.027548858,0.021692352,0.018560444,0.010407652,0.02016317,0.023452518,0.025416301,0.041846519,1,F
0,0,0,0,0.259450066,0.000168478,0.261904762,0.000588651,0.000232626,0.000241707,0.000250512,0,0,0,0.000205656,0,F
0,0,0,0,0.259450066,0.000210597,0.30952381,0.000588651,0.000203548,0.000131596,6.83E-05,0.00011655,0,0,0.000205656,0,M
0,0,0,0,0.259450066,0.000210597,0.30952381,0.000824111,0.000290782,2.42E-05,6.83E-05,4.66E-05,0,0,0.000205656,0,F
0.058637084,0.075396825,0.075,0,0.475214381,0.079900598,0.619047619,0.044207676,0.067897645,0.043152832,0.033819176,0.054055944,0.084582853,0.086765995,0.101419308,1,M
0,0.000566893,0,0,0.269742801,0.000421195,0.857142857,0.00011773,0.000203548,0.000123539,2.28E-05,0.00020979,0.000384468,0,7.87E-05,0,M
0.034548336,0.027777778,0.025,0,0.202575822,0.019459186,0.238095238,0.047504121,0.02564699,0.016086972,0.016511045,0.085990676,0.021914648,0.022787029,0.062332962,1,M
0.004754358,0.003968254,0,0,0.250044275,0.003201078,0.285714286,0.004885802,0.00375109,0.001745665,0.001457527,0.001235431,0.001922338,0,0.008433772,1,M
0.012361331,0.009637188,0.05,0,0.269742801,0.004970095,0.19047619,0.012950318,0.009770282,0.004270164,0.004691414,0.007156177,0.003844675,0.002629273,0.020242125,1,M
0.002535658,0.003968254,0,0,0.269742801,0.002485048,0.380952381,0.003002119,0.002384414,0.001791321,0.002117969,0.003776224,0.00153787,0.001752848,0.004828382,0,F
0.011727417,0.014739229,0.025,0,0.368231817,0.009518996,0.333333333,0.013362373,0.014248328,0.006099084,0.002209064,0.006363636,0.009611688,0.01051709,0.022212513,1,M
0,0.000566893,0,0,0.282898765,8.42E-05,0.19047619,0.00023546,0.000145391,2.69E-05,9.11E-05,0,0,0,1.49E-05,0,M
0.226941363,0.208049887,0,0.222222222,0.29754381,0.130865134,0.238095238,0.288497763,0.215585926,0.094222924,0.099248463,0.195687646,0.098039216,0.103418054,0.434303054,1,M
0.062440571,0.06122449,0.05,0,0.498837287,0.046162918,0.30952381,0.068401224,0.066879907,0.040010635,0.027374174,0.081771562,0.053056517,0.069237511,0.118188566,3,M
0.000633914,0.000566893,0,0.111111111,0.27358839,0.000252717,0.166666667,0.000882976,0.000290782,0.000273935,0.000364382,0.001608392,0.000768935,0,0.000859657,0,M
0.017432647,0.023809524,0,0,0.438211425,0.017353214,0.428571429,0.017718389,0.018522826,0.011924233,0.008790708,0.030909091,0.021530181,0.024539877,0.030848681,1,F
0.07955626,0.074263039,0.025,0.055555556,0.443632839,0.071687305,0.380952381,0.081940193,0.081448095,0.062392742,0.051969939,0.074708625,0.071510957,0.086765995,0.150720927,2,F
0.023771791,0.02154195,0.075,0,0.27329202,0.020175217,0.357142857,0.030256652,0.025472521,0.015692183,0.010066044,0.03030303,0.028450596,0.023663453,0.043970625,1,F
0.01362916,0.010204082,0.025,0.055555556,0.333122742,0.011203774,0.333333333,0.024252413,0.012997965,0.008132112,0.003051697,0.008018648,0.01076509,0.012269939,0.025678159,1,F
0,0.000566893,0,0,0.284756503,0.00080027,0.857142857,0.000412056,0.000378017,0.000287363,9.11E-05,0.00020979,0.000384468,0,0.000428781,0,M
0,0.000566893,0,0,0.282638537,0.000126358,0.214285714,0.00023546,0.000145391,0.000303477,0.000432703,0.00030303,0.001153403,0,0.000128331,0,F
0.083676704,0.086734694,0.05,0.055555556,0.466489519,0.099823098,0.5,0.074170002,0.077987787,0.081906588,0.071555454,0.117435897,0.130334487,0.127957932,0.155011062,1,M
0.045641838,0.056689342,0.025,0.111111111,0.361682749,0.052270238,0.5,0.038909819,0.045216633,0.046445424,0.035777727,0.06048951,0.081122645,0.077125329,0.080960813,1,F
0.001584786,0.001133787,0.025,0,0.179341089,0.001347822,0.357142857,0.001765952,0.001424833,0.001144082,0.000318834,0.0004662,0.002691273,0.000876424,0.00271825,0,F
0.05451664,0.048752834,0.025,0.111111111,0.324441251,0.05446045,0.404761905,0.060277843,0.048676941,0.044817927,0.012707811,0.068041958,0.062283737,0.057843996,0.109021372,1,M
0.003169572,0.002834467,0,0,0.282602394,0.002779884,0.333333333,0.003178714,0.002733353,0.00221028,0.001047597,0.001981352,0.00153787,0.002629273,0.006086076,1,F
0,0,0,0,0.260743254,0.000379075,0.404761905,0.000294325,0.000581564,0.00029542,0.000136643,0.00013986,0,0,0.00042715,0,F
0.216481775,0.187641723,0.075,0.111111111,0.343004172,0.148344706,0.285714286,0.2140923,0.196423379,0.119470607,0.081074926,0.167622378,0.138023837,0.173531989,0.402720952,1,F
0.005388273,0.007369615,0.025,0,0.236985896,0.006528515,0.595238095,0.0037085,0.004361733,0.004903975,0.003871555,0.008368298,0.00768935,0.012269939,0.008433772,1,M
0.100792393,0.096938776,0.05,0.055555556,0.441587159,0.062463145,0.261904762,0.12650106,0.111253271,0.042105433,0.068663175,0.041585082,0.059207997,0.051709027,0.181408669,1,M
0.000950872,0.00170068,0,0,0.289534575,0.001221464,0.380952381,0.001589357,0.001599302,0.000886261,0.000660442,0.00020979,0.000384468,0,0.002159275,0,M
0.0022187,0.003401361,0,0,0.256779839,0.002990481,0.547619048,0.002531198,0.002326258,0.001358933,0.001571396,0.002121212,0.005767013,0.007887818,0.004059791,0,M
0.161648177,0.14569161,0.45,0.277777778,0.327448329,0.11658664,0.30952381,0.23528373,0.130822914,0.100399892,0.065816443,0.106340326,0.123414072,0.098159509,0.292085772,1,F
0.095721078,0.087868481,0.05,0,0.462506587,0.064063685,0.285714286,0.126795385,0.115411457,0.040593419,0.031473468,0.042400932,0.056516724,0.056967572,0.178264433,2,F
0.006339144,0.005668934,0.05,0,0.182739231,0.004001348,0.285714286,0.006828349,0.005292236,0.003491329,0.00100205,0.002400932,0.004998078,0.002629273,0.010515955,1,M
0.079873217,0.078231293,0.05,0,0.417342596,0.071476708,0.357142857,0.104014599,0.08595522,0.053723503,0.046618082,0.092284382,0.069973087,0.066608238,0.156310679,1,F
0.001267829,0.002267574,0,0,0.318549981,0.001052986,0.238095238,0.002531198,0.00212271,0.001004429,0.00059212,0.000512821,0.000768935,0.000876424,0.003053635,0,M
0.002535658,0.002267574,0.025,0,0.225306003,0.001010867,0.19047619,0.002590064,0.001482989,0.001665096,0.001115919,0.000792541,0.002306805,0.002629273,0.003794278,0,M
0.001901743,0.000566893,0.025,0,0.269742801,0.001263584,0.333333333,0.002825524,0.000465252,0.000593526,0.000432703,0.001212121,0.001153403,0,0.002676327,0,M
0.009508716,0.009637188,0.025,0,0.372243663,0.010529863,0.476190476,0.008829762,0.009275952,0.006432103,0.004395354,0.006107226,0.00615148,0.011393514,0.017279556,1,M
0.004120444,0.004535147,0,0,0.246199408,0.002990481,0.30952381,0.00335531,0.003518465,0.003236194,0.002459576,0.005664336,0.003844675,0.002629273,0.007511463,1,M
0,0,0,0,0.254697294,0.000210597,0.214285714,0.000529786,0.000348939,0.00044313,0.000637668,6.99E-05,0,0,0.000426684,0,F
0.000950872,0.001133787,0,0,0.248492305,0.001389942,0.476190476,0.001118437,0.000785112,0.001060827,0.000910954,0.000839161,0.001922338,0.000876424,0.001935685,0,M
0,0,0,0,0.25481801,0.000252717,0.214285714,0.000470921,0.000290782,0.000459244,0.000250512,0.00016317,0,0,0.00058017,0,M
0.001267829,0.00170068,0,0,0.290047802,0.001895375,0.5,0.001177302,0.000756034,0.001321334,0.001207014,0.005547786,0.001922338,0.000876424,0.002690301,0,M
0,0,0,0,0.25481801,0.000463314,0.404761905,0.000529786,0.000203548,0.000225594,0,0.001678322,0.000384468,0,0.000566195,0,M
0.028209192,0.028344671,0.025,0,0.290720058,0.027419762,0.404761905,0.029726866,0.029427159,0.020112743,0.022523343,0.027156177,0.032295271,0.049079755,0.052355254,1,M
0.000950872,0.00170068,0,0,0.285913071,0.001305703,0.5,0.001236167,0.000872347,0.001101112,0.000501025,0.000839161,0.001922338,0.000876424,0.001781967,0,F
0.001267829,0.001133787,0,0,0.254795602,0.001263584,0.333333333,0.001353897,0.001599302,0.001076941,0.000774311,0.00027972,0,0,0.002606455,0,F
0.005071315,0.007369615,0.025,0.111111111,0.269742801,0.004675259,0.452380952,0.005592183,0.004158186,0.003174424,0.004941927,0.001864802,0.00768935,0.007011394,0.007651207,1,F
0.000316957,0.000566893,0,0,0.281539797,0.000463314,0.428571429,0.00011773,0.000348939,0.000322277,0.000136643,0.001165501,0,0,0.000552221,0,F
0.004437401,0.006802721,0.025,0,0.305516903,0.005180692,0.476190476,0.00394396,0.004536202,0.004912032,0.003666591,0.007342657,0.008458285,0.009640666,0.008321977,1,M
0.02503962,0.030045351,0.05,0,0.216998228,0.02379749,0.428571429,0.020072993,0.02500727,0.019994575,0.016214985,0.031818182,0.024221453,0.02716915,0.043844855,0,F
0,0,0,0,0.269742801,0.000126358,0.095238095,0.00035319,0.000378017,0.000394789,6.83E-05,0.000839161,0.000384468,0,0.000650042,0,M
0.000950872,0,0,0,0.23466264,0.000421195,0.166666667,0.001824818,0.000552486,0.000333019,0.000409929,0.000955711,0.000384468,0,0.001781967,0,F
0,0,0,0,0.259898236,0.000126358,0.19047619,0.000294325,0.000232626,0.000230965,9.11E-05,9.32E-05,0,0,0.000244086,0,F
0.000633914,0,0.025,0,0.172669135,4.21E-05,0.023809524,0.001589357,0.000145391,0.000230965,0.000182191,0.00011655,0,0,0.000859657,0,M
0.002535658,0.001133787,0,0,0.213428769,0.001432061,0.238095238,0.004414881,0.001482989,0.00067141,0.001434753,0.0002331,0.000384468,0.000876424,0.00431133,0,F
0.001584786,0.00170068,0,0,0.285363701,0.000421195,0.095238095,0.001353897,0.001250363,0.000572041,0,0.002074592,0.001153403,0.001752848,0.003081584,0,F
0,0,0,0,0.248211837,0.000126358,0.166666667,0.000647516,0.00049433,0.000225594,2.28E-05,6.99E-05,0,0,0.000306039,0,F
0.000950872,0.000566893,0,0,0.243921692,0.000631792,0.214285714,0.001412762,0.000930503,0.000773464,0.000364382,0.00037296,0.000768935,0.000876424,0.001977608,0,M
0.000316957,0,0,0,0.258438069,0.000252717,0.119047619,0.000882976,0.000901425,0.000636496,0.000569346,0.003076923,0.000768935,0,0.001432607,0,M
